case_id,title,symptom,topology_note,show_outputs,expected_fault,osi_layer,concept,severity,difficulty,expected_next_command,expected_fix,verification_method,tags
NS-ACL-002,Inverted Wildcard Mask in Extended ACL,Finance department workstations (10.10.50.0/24) cannot reach the ERP server at 10.20.10.100 on port 443.,Finance PC (10.10.50.12) -> SW-Core -> R1 (Inbound ACL) -> ERP Server (10.20.10.100),"R1# show access-lists SECURE-ERP
Extended IP access list SECURE-ERP
 10 permit tcp 10.10.50.0 255.255.255.0 host 10.20.10.100 eq 443 (0 matches)
 20 deny ip any any (354 matches)

R1# show running-config interface GigabitEthernet0/0.50
interface GigabitEthernet0/0.50
 encapsulation dot1Q 50
 ip address 10.10.50.1 255.255.255.0
 ip access-group SECURE-ERP in
!",The wildcard mask in ACL rule 10 was entered as a subnet mask '255.255.255.0' instead of Cisco inverse wildcard mask '0.0.0.255'.,Layer 3/4 (Network / Transport),ACL,High,Easy,show access-lists SECURE-ERP,"R1(config)# ip access-list extended SECURE-ERP
R1(config-ext-nacl)# no 10
R1(config-ext-nacl)# 10 permit tcp 10.10.50.0 0.0.0.255 host 10.20.10.100 eq 443
R1(config-ext-nacl)# exit",HTTPS connection from Finance PC to 10.20.10.100 succeeds; match counter increments on rule 10,acl;wildcard-mask;inverse-mask;extended-acl;syntax-error
NS-ACL-003,ACL Applied in Wrong Direction (Outbound vs Inbound),Management PC (172.16.1.10) cannot SSH to remote router loopback 10.255.255.1 despite ACL intending to permit SSH.,Admin PC (172.16.1.10) -> Router R1 (Gi0/0) -> WAN,"R1# show access-lists MGMT-FILTER
Extended IP access list MGMT-FILTER
 10 permit tcp host 172.16.1.10 any eq 22
 20 deny ip any any (892 matches)

R1# show running-config interface GigabitEthernet0/0
interface GigabitEthernet0/0
 ip address 172.16.1.1 255.255.255.0
 ip access-group MGMT-FILTER out
!",ACL 'MGMT-FILTER' is applied with 'out' keyword on Gi0/0 instead of 'in'. It filters traffic exiting the interface toward the Admin PC rather than ingress traffic.,Layer 3/4 (Network / Transport),ACL,High,Medium,show running-config interface Gi0/0,"R1(config)# interface GigabitEthernet0/0
R1(config-if)# no ip access-group MGMT-FILTER out
R1(config-if)# ip access-group MGMT-FILTER in
R1(config-if)# exit",SSH from 172.16.1.10 connects; rule 10 match count increases,acl;direction;inbound-outbound;interface-application
NS-ACL-004,Standard ACL Placed Too Close to Source,"Applying an ACL to block Host A (10.0.1.10) from accessing Payroll Server (10.0.3.50) inadvertently blocked Host A from all other internal servers (Web, DNS).","Host A (10.0.1.10) -> R1 (Gi0/0: Inbound ACL) -> Servers (VLAN 2: Web, VLAN 3: Payroll)","R1# show access-lists 10
Standard IP access list 10
 10 deny 10.0.1.10 (45 matches)
 20 permit any (1200 matches)

R1# show running-config interface GigabitEthernet0/0
interface GigabitEthernet0/0
 ip address 10.0.1.1 255.255.255.0
 ip access-group 10 in
!","Standard ACL 10 (which filters only by source IP) was placed inbound near the source on Gi0/0, blocking Host A from all destinations instead of specifically the Payroll subnet.",Layer 3 (Network),ACL,Medium,Medium,show access-lists 10; show running-config interface Gi0/0,"R1(config)# interface GigabitEthernet0/0
R1(config-if)# no ip access-group 10 in
R1(config)# ip access-list extended BLOCK-PAYROLL
R1(config-ext-nacl)# deny ip host 10.0.1.10 host 10.0.3.50
R1(config-ext-nacl)# permit ip any any
R1(config)# interface GigabitEthernet0/0
R1(config-if)# ip access-group BLOCK-PAYROLL in",Host A can reach Web/DNS servers; only Payroll server 10.0.3.50 is blocked,acl;standard-acl;extended-acl;placement;over-filtering
NS-ACL-005,Missing Established Keyword in Return Traffic ACL,"Internal users can send DNS queries, but external web browsing over HTTP/HTTPS fails as return web packets are blocked at the perimeter router.",Internal LAN (192.168.1.0/24) -> R1 -> ISP WAN (Gi0/1),"R1# show access-lists INCOMING-TRAFFIC
Extended IP access list INCOMING-TRAFFIC
 10 permit udp any host 192.168.1.100 eq domain (520 matches)
 20 deny ip any any (3145 matches)

R1# show running-config interface GigabitEthernet0/1
interface GigabitEthernet0/1
 ip address 203.0.113.2 255.255.255.252
 ip access-group INCOMING-TRAFFIC in
!","Inbound ACL on WAN interface has no 'permit tcp any 192.168.1.0 0.0.0.255 established' rule, causing all return TCP packets for client web sessions to be dropped.",Layer 4 (Transport / TCP Flags),ACL,Critical,Hard,show access-lists INCOMING-TRAFFIC,"R1(config)# ip access-list extended INCOMING-TRAFFIC
R1(config-ext-nacl)# 15 permit tcp any 192.168.1.0 0.0.0.255 established
R1(config-ext-nacl)# exit",Web browsing from client to public web servers succeeds; rule 15 match count increases,acl;tcp-established;return-traffic;firewall;stateless
NS-NAT-001,Missing IP NAT Inside/Outside Interface Configuration,Internal hosts on 192.168.1.0/24 cannot reach the public internet (203.0.113.1) and NAT translation table is completely empty.,"LAN (192.168.1.0/24) -> R1 (Gi0/0 LAN, Gi0/1 WAN) -> Internet","R1# show ip nat translations
(empty)

R1# show ip nat statistics
Total active translations: 0 (0 static, 0 dynamic, 0 extended)
Outside interfaces:
 none
Inside interfaces:
 GigabitEthernet0/0
Hits: 0 Misses: 0

R1# show running-config interface GigabitEthernet0/1
interface GigabitEthernet0/1
 ip address 203.0.113.2 255.255.255.252
!","WAN interface GigabitEthernet0/1 is missing the 'ip nat outside' command, preventing NAT translation evaluation.",Layer 3 (Network / NAT),NAT,Critical,Easy,show ip nat statistics; show running-config interface Gi0/1,"R1(config)# interface GigabitEthernet0/1
R1(config-if)# ip nat outside
R1(config-if)# exit",show ip nat translations displays active NAT translations; ping 8.8.8.8 from LAN host succeeds,nat;pat;nat-outside;translation-table;internet
NS-NAT-002,NAT Overload (PAT) Keyword Omitted,"First user to open an internet connection succeeds, but all other simultaneous users immediately lose internet access.",Office LAN (50 PCs) -> R1 (Gi0/1 Public IP 198.51.100.2) -> Internet,"R1# show running-config | include ip nat
ip nat inside source list 1 interface GigabitEthernet0/1
access-list 1 permit 192.168.10.0 0.0.0.255

R1# show ip nat translations
Pro Inside global Inside local Outside local Outside global
--- 198.51.100.2 192.168.10.15 --- ---","The 'overload' keyword was omitted from the 'ip nat inside source list 1 interface Gi0/1' statement, creating a 1-to-1 dynamic NAT mapping that exhausts the single public IP.",Layer 3/4 (Network / Transport / PAT),NAT,High,Medium,show running-config | include ip nat; show ip nat translations,"R1(config)# no ip nat inside source list 1 interface GigabitEthernet0/1
R1(config)# ip nat inside source list 1 interface GigabitEthernet0/1 overload",show ip nat translations shows multiple UDP/TCP port bindings (PAT); all 50 hosts can browse concurrently,nat;pat;overload;port-address-translation;capacity
NS-NAT-003,NAT Source ACL Does Not Match New Subnet,"Hosts in original VLAN 10 (192.168.10.0/24) have full internet access, but hosts in newly added VLAN 20 (192.168.20.0/24) cannot reach the internet.",VLAN 10 & VLAN 20 -> R1 (Router-on-a-stick) -> NAT Outbound Gi0/1,"R1# show access-lists 1
Standard IP access list 1
 10 permit 192.168.10.0, wildcard bits 0.0.0.255 (2849 matches)

R1# show running-config | include ip nat
ip nat inside source list 1 interface GigabitEthernet0/1 overload
interface GigabitEthernet0/0.10
 ip nat inside
interface GigabitEthernet0/0.20
 ip nat inside",Standard ACL 1 used for NAT only permits subnet 192.168.10.0/24; subnet 192.168.20.0/24 is not permitted in the NAT ACL.,Layer 3 (Network / NAT),NAT,High,Easy,show access-lists 1,R1(config)# access-list 1 permit 192.168.20.0 0.0.0.255,VLAN 20 hosts can ping internet IPs; ACL 1 match count increments for 192.168.20.0,nat;nat-acl;standard-acl;pat;multi-vlan
NS-NAT-004,Static NAT Port Forwarding Wrong Inside IP,"External customers cannot access public web portal at 203.0.113.10:80, even though internal web server at 192.168.1.80 is up and responding locally.",External Clients -> Internet -> R1 (WAN 203.0.113.10) -> Web Server (192.168.1.80),"R1# show running-config | include ip nat inside source static
ip nat inside source static tcp 192.168.1.180 80 203.0.113.10 80 extendable

R1# show ip arp | include 192.168.1.
Protocol Address Age (min) Hardware Addr Type Interface
Internet 192.168.1.80 4 0050.7966.6801 ARPA GigabitEthernet0/0",Static NAT port forwarding statement has a typo in the internal private IP (configured as 192.168.1.180 instead of real server IP 192.168.1.80).,Layer 3/4 (Network / Transport / Static NAT),NAT,Critical,Easy,show running-config | include ip nat inside source static,"R1(config)# no ip nat inside source static tcp 192.168.1.180 80 203.0.113.10 80 extendable
R1(config)# ip nat inside source static tcp 192.168.1.80 80 203.0.113.10 80 extendable",curl/browser test from external IP to http://203.0.113.10:80 returns HTTP 200 OK,nat;static-nat;port-forwarding;dmz;web-server
NS-WLAN-001,WPA2-PSK Key Mismatch on Wireless Client,Laptop-Wireless attempts to associate with SSID 'Corporate-WiFi' but fails at authentication stage and gets disconnected.,Laptop-Wireless <---> (802.11ac) WAP-1 (Access Point) -> SW1 (VLAN 100),"WAP-1# show dot11 associations
(no active associations)

WAP-1# show running-config | section ssid
dot11 ssid Corporate-WiFi
 vlan 100
 authentication open
 authentication key-management wpa2
 wpa-psk ascii CiscoSecure2026!

Laptop-Wireless CLI:
Status: Authentication failed (code 4 - invalid preshared key entered 'Ciscosecure2026!')",Preshared key mismatch on wireless client due to case-sensitivity ('Ciscosecure2026!' vs AP key 'CiscoSecure2026!').,Layer 2 (Data Link / 802.11 Security),Wireless,Medium,Easy,show dot11 associations on AP; inspect client WPA settings,Enter correct WPA2-PSK 'CiscoSecure2026!' on Laptop-Wireless profile.,show dot11 associations shows Laptop MAC associated in state Authenticated; IP obtained via DHCP,wireless;wpa2;wpa-psk;authentication;ssid;case-sensitive
NS-WLAN-002,AP Ethernet Port Configured as Access Instead of Trunk,"Corporate wireless clients on SSID 'Corp-Data' (VLAN 10) can connect, but Guest clients on SSID 'Corp-Guest' (VLAN 20) fail to obtain IP addresses or pass traffic.",Autonomous AP-1 (Multi-SSID) -> SW1 (Fa0/24) -> Router,"SW1# show interfaces FastEthernet0/24 switchport
Name: Fa0/24
Switchport: Enabled
Administrative Mode: static access
Operational Mode: static access
Administrative Trunking Encapsulation: dot1q
Operational Trunking Encapsulation: native
Negotiation of Trunking: Off
Access Mode VLAN: 10 (Corp-Data)
Trunking Native Mode VLAN: 1 (default)

AP-1# show running-config | section ssid
dot11 ssid Corp-Data
 vlan 10
dot11 ssid Corp-Guest
 vlan 20",Switch port Fa0/24 connected to multi-SSID Access Point is configured as an access port in VLAN 10 rather than an 802.1Q trunk port carrying both VLAN 10 and VLAN 20.,Layer 2 (Data Link / Trunking),Wireless,High,Medium,show interfaces Fa0/24 switchport on SW1,"SW1(config)# interface FastEthernet0/24
SW1(config-if)# switchport mode trunk
SW1(config-if)# switchport trunk allowed vlan 10,20
SW1(config-if)# exit",Guest clients on SSID Corp-Guest obtain 192.168.20.x IP address and can browse guest portal,wireless;multi-ssid;trunk;ap-link;vlan-tagging
NS-WLAN-003,Wireless Client Band / Channel Mismatch (5GHz 802.11ac),Legacy barcode scanner (2.4GHz 802.11b/g only) cannot see or discover the warehouse SSID 'Logistics-Scan'.,"Scanner (2.4GHz) <---> WAP-Warehouse (Radio 0: 2.4GHz disabled, Radio 1: 5GHz enabled)","WAP-Warehouse# show controllers dot11Radio 0
Dot11Radio 0 is administratively down (Frequency: 2.4 GHz)
 Status: shutdown

WAP-Warehouse# show controllers dot11Radio 1
Dot11Radio 1 is up, line protocol is up (Frequency: 5.0 GHz)
 SSID: Logistics-Scan
 Channel: 36 (5180 MHz)","The 2.4GHz radio (Dot11Radio 0) is administratively shutdown on the AP, leaving only the 5GHz radio active which the legacy 2.4GHz client cannot detect.",Layer 1/2 (Physical / Wireless RF),Wireless,High,Medium,show controllers dot11Radio 0; show controllers dot11Radio 1,"WAP-Warehouse(config)# interface Dot11Radio 0
WAP-Warehouse(config-if)# no shutdown
WAP-Warehouse(config-if)# ssid Logistics-Scan
WAP-Warehouse(config-if)# exit",show controllers dot11Radio 0 is up; legacy scanner associates and receives IP,wireless;rf;2.4ghz;5ghz;radio-shutdown;legacy-client
NS-TRUNK-001,Native VLAN Mismatch on 802.1Q Trunk Link,CDP native VLAN mismatch warnings logged every 60 seconds; untagged traffic from VLAN 1 on SW1 arrives in VLAN 99 on SW2.,SW1 (Gi0/1 Trunk) <---> (Gi0/1 Trunk) SW2,"SW1# show log
%CDP-4-NATIVE_VLAN_MISMATCH: Native VLAN mismatch discovered on GigabitEthernet0/1 (1), with SW2 GigabitEthernet0/1 (99).

SW1# show interfaces GigabitEthernet0/1 trunk
Port Mode Encapsulation Status Native vlan
Gi0/1 on 802.1q trunking 1

SW2# show interfaces GigabitEthernet0/1 trunk
Port Mode Encapsulation Status Native vlan
Gi0/1 on 802.1q trunking 99",Native VLAN mismatch across the trunk link: SW1 has Native VLAN 1 while SW2 has Native VLAN 99.,Layer 2 (Data Link),Trunking,Medium,Easy,show interfaces Gi0/1 trunk on both switches,"SW1(config)# interface GigabitEthernet0/1
SW1(config-if)# switchport trunk native vlan 99
SW1(config-if)# exit",show log on SW1 and SW2 shows no further CDP native VLAN mismatch alerts,trunking;native-vlan;cdp;dot1q;vlan-leak
NS-TRUNK-002,Required VLAN Not in Trunk Allowed List,Hosts in VLAN 50 connected to switch SW2 cannot communicate with servers in VLAN 50 on switch SW1 across trunk link Gi0/1.,SW2 (VLAN 50 hosts) <--- Trunk Gi0/1 ---> SW1 (VLAN 50 servers),"SW1# show interfaces GigabitEthernet0/1 trunk
Port Mode Encapsulation Status Native vlan
Gi0/1 on 802.1q trunking 1

Port Vlans allowed on trunk
Gi0/1 1-40

Port Vlans allowed and active in management domain
Gi0/1 1,10,20,30,40

SW2# show vlan brief | include 50
50 Engineering active Fa0/1, Fa0/2","Trunk interface Gi0/1 on SW1 restricts allowed VLANs to '1-40', pruning/blocking VLAN 50 traffic from traversing the trunk.",Layer 2 (Data Link),Trunking,High,Medium,show interfaces Gi0/1 trunk,"SW1(config)# interface GigabitEthernet0/1
SW1(config-if)# switchport trunk allowed vlan add 50
SW1(config-if)# exit",show interfaces Gi0/1 trunk displays 50 in allowed list; ping between VLAN 50 hosts succeeds,trunking;allowed-vlans;vlan-pruning;dot1q;inter-switch
NS-INT-001,Interface Administratively Shutdown,Entire branch office loses connection to HQ; line protocol and physical link LEDs on Router R1 WAN port Gi0/1 are off.,R1 (Gi0/1 WAN: 192.168.100.2/30) <---> (Gi0/1: 192.168.100.1/30) R-HQ,"R1# show ip interface brief | include GigabitEthernet0/1
GigabitEthernet0/1 192.168.100.2 YES manual administratively down down 

R1# show interfaces GigabitEthernet0/1
GigabitEthernet0/1 is administratively down, line protocol is down 
 Hardware is CN Gigabit Ethernet, address is 0001.9654.1202
 Internet address is 192.168.100.2/30",Interface GigabitEthernet0/1 has the 'shutdown' command active in its configuration.,Layer 1 (Physical),Interface,Critical,Easy,show ip interface brief,"R1(config)# interface GigabitEthernet0/1
R1(config-if)# no shutdown
R1(config-if)# exit",show ip interface brief shows GigabitEthernet0/1 up/up; ping 192.168.100.1 succeeds,interface;administratively-down;shutdown;physical-layer;no-shutdown
NS-INT-002,Duplex Mismatch (Full Duplex vs Half Duplex),"Severe latency, excessive collisions, late collisions, and frame errors on uplink between switch SW1 and router R1.",SW1 (Fa0/24 Full Duplex) <---> (Fa0/0 Half Duplex) R1,"SW1# show interfaces FastEthernet0/24
FastEthernet0/24 is up, line protocol is up
 Full-duplex, 100Mb/s, media type is 100BaseTX
 0 input errors, 0 CRC, 0 frame, 0 overrun, 0 ignored
 0 late collision, 0 deferred

R1# show interfaces FastEthernet0/0
FastEthernet0/0 is up, line protocol is up
 Half-duplex, 100Mb/s, 100BaseTX/FX
 2841 input errors, 1420 CRC, 912 frame, 0 overrun, 0 ignored
 1890 late collisions, 2410 deferred, 0 lost carrier","Duplex mismatch: SW1 Fa0/24 is hardcoded to Full-Duplex while R1 Fa0/0 is hardcoded to Half-Duplex, causing collisions and frame drops under load.",Layer 2 (Data Link / MAC),Interface,Medium,Medium,show interfaces Fa0/0 on R1; show interfaces Fa0/24 on SW1,"R1(config)# interface FastEthernet0/0
R1(config-if)# duplex full
R1(config-if)# exit","show interfaces Fa0/0 shows Full-duplex, 100Mb/s and late collisions cease increasing",interface;duplex-mismatch;late-collisions;crc-errors;layer2
